"BehaviorSpace results (NetLogo 6.2.2)"
"cradlemountain.nlogo"
"experiment"
"10/22/2022 18:32:21:588 +1100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-260","260","-140","140"
"[run number]","tourist-count","shortcutting-tourists","shortcut-threshold","test-regrowth-after","deviation-chance","vegetation-growth-rate","attraction-exploration-radius","damage-per-step","attraction-exploration-time","[step]","ticks","count patches with [vegetation-health < 5 and not path? and not lake?]","happiness-avg / happiness-count","vegetation-decile 1","vegetation-decile 2","vegetation-decile 3","vegetation-decile 4","vegetation-decile 5","vegetation-decile 6","vegetation-decile 7","vegetation-decile 8","vegetation-decile 9","vegetation-decile 10"
"9","500","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"8","300","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"5","900","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"10","700","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"3","500","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"12","1500","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"17","900","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"6","1500","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"18","1500","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"14","300","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"13","100","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"15","500","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"4","700","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"11","900","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"7","100","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"2","300","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
"16","700","5","60","0","1.5","15","3","1","20","0","0","0","0","0","0","0","0","0","0","0","0","0","128987"
